system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20240308T105759_20240308T110211_T30UYA_0000000000000000010a_0,2641,2051,968,1472,1786,2130,2731,2919,2968,2966,5,2024-03-08,Luvic Cambisols,49.56393970113884,1.217982875699953,155,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_000000000000000000da_0,2438,1619,742,1162,1296,1883,2654,2819,2972,2966,5,2024-03-08,Calcaric Cambisols,49.853132208716076,1.4338262144811627,99,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_000000000000000000bc_0,2703,2185,982,1418,1848,1949,2194,2485,2680,2470,5,2024-03-08,Eutric Cambisols,50.14184543087868,1.6521414189885952,60,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_000000000000000000c9_0,1900,1356,607,828,1126,1266,2070,2433,2138,2494,5,2024-03-08,Luvic Cambisols,49.996771823054615,1.4312656624062745,76,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_000000000000000000ca_0,2306,1917,822,1148,1462,1647,1831,1918,2070,1979,5,2024-03-08,Luvic Cambisols,49.99822488625304,1.654081486582689,77,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_0000000000000000010a_0,2477,1834,970,1446,1694,1923,2759,2949,2938,3046,5,2024-03-08,Luvic Cambisols,49.56393970113884,1.217982875699953,155,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCR_000000000000000000b0_0,2069,1383,558,778,843,1301,1824,1989,2198,2166,5,2024-03-08,Tidalic Fluvisols,50.28543938910523,1.6501915864712242,47,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCS_00000000000000000039_0,2824,2245,722,1132,1430,1645,1860,1953,2240,2085,5,2024-03-08,Calcaric Cambisols,50.65641267424932,1.6510873564702908,SIM4474,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UCS_0000000000000000009f_0,3090,2120,1454,1818,2014,2002,2777,2842,3776,3241,5,2024-03-08,Rendzic Leptosols,50.57254339082955,1.6462577899891515,24,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_00000000000000000056_0,2233,1679,718,1088,1284,1641,2108,2285,2410,2326,5,2024-03-08,Eutric Cambisols,50.15828941114408,2.86617988322367,SIM63940,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_000000000000000000de_0,1941,1712,552,798,1052,1284,1395,1519,1610,1585,5,2024-03-08,Calcaric Cambisols,49.85648964531181,2.3226256379824948,103,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_000000000000000000e1_0,933,615,197,301,280,554,944,950,1094,1159,5,2024-03-08,Calcaric Cambisols,49.85473911481898,2.9892386080064637,106,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_000000000000000000ab_0,1711,1434,584,781,991,1182,1286,1350,1446,1565,5,2024-03-08,Eutric Cambisols,50.430753767792595,2.5472090849698255,38,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_000000000000000000ac_0,1481,1423,789,764,755,772,911,905,1208,1047,5,2024-03-08,Eutric Cambisols,50.430165085295194,2.7719553311287974,39,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240308T105759_20240308T110211_T31UDR_000000000000000000b5_0,1159,1040,1032,1016,1042,838,881,1077,991,1074,5,2024-03-08,Eutric Cambisols,50.28659484900255,2.7707172697287374,52,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
