system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20231118T104321_20231118T104432_T31TCH_0000000000000000088d_0,1314,679,0,0,62,150,477,617,784,847,5,2023-11-18,Eutric Cambisols,42.80266077505149,1.3485900955800136,2276,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCH_0000000000000000086e_0,2263,1664,461,830,856,1350,2093,2197,2258,2355,5,2023-11-18,Luvic Stagnosols,43.0930077715907,1.7359034787467902,2227,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCH_00000000000000000854_0,2001,1639,648,1080,1472,1590,1672,1729,1792,1750,5,2023-11-18,Mollic Umbrisols,43.23675734912461,1.7343973183347328,2192,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCH_00000000000000000899_0,3447,2197,736,1324,1682,2308,3219,3569,4176,3912,5,2023-11-18,Umbric Leptosols,42.66187524449067,1.7403774378733483,2298,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCJ_0000000000000000080b_0,2277,1807,597,995,1224,1437,1559,1708,1862,1777,5,2023-11-18,Calcaric Cambisols,43.524309926758626,1.7313633815716516,2108,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCJ_00000000000000000832_0,2121,1632,570,928,1046,1369,1520,1585,1642,1653,5,2023-11-18,Calcaric Cambisols,43.379238151330306,1.5357705717025496,2152,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TCJ_00000000000000000833_0,2736,2026,554,1122,1160,1869,2570,2865,3496,2845,5,2023-11-18,Regosols (Colluvic),43.3805251082789,1.7328839686620165,2153,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_0000000000000000006a_0,2721,1858,502,807,979,1297,1749,1974,2101,2186,5,2023-11-18,Calcaric Cambisols,43.25643616146044,2.453036771590776,SIM23594,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_0000000000000000003d_0,1955,1551,540,946,1256,1312,1513,1606,1726,1643,5,2023-11-18,Eutric Cambisols,43.08330529252448,1.8953747700466825,SIM11644,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000858_0,2376,1576,297,438,592,877,1140,1274,1289,1500,5,2023-11-18,Calcaric Cambisols,43.23829353328013,2.520928813086623,2196,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000870_0,2365,1569,273,568,734,1092,1427,1590,1876,1888,5,2023-11-18,Calcaric Cambisols,43.094492232872064,2.1281842266731097,2229,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000872_0,2629,1579,457,642,848,1199,1537,1731,1761,2021,5,2023-11-18,Calcaric Cambisols,43.09454041537799,2.520470944219245,2231,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000884_0,1030,450,0,135,191,615,1138,1290,1236,1611,5,2023-11-18,Calcaric Cambisols,42.95075804067662,2.1287056572835286,2257,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000895_0,2070,1739,507,892,1384,1528,1643,1636,1650,1683,5,2023-11-18,Calcaric Cambisols,42.80571523077259,2.9098926161750236,2284,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_000000000000000008a6_0,3032,1893,474,712,949,1300,1866,2142,2310,2430,5,2023-11-18,Regosols (Colluvic),42.51967799126664,2.1302565886024913,2314,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_00000000000000000855_0,2204,1600,481,882,1004,1352,1540,1666,1664,1689,5,2023-11-18,Rendzic Leptosols,43.237681525941696,1.9310260055678181,2193,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TDH_000000000000000008a8_0,765,493,65,323,431,588,913,1022,989,1090,5,2023-11-18,Umbric Leptosols,42.51972734753281,2.5186663356541397,2316,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TFJ_00000000000000000770_0,1001,653,254,468,537,828,981,1013,1132,1130,5,2023-11-18,Calcaric Cambisols,44.06587227044803,5.117781325738767,1940,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TFJ_000000000000000007f2_0,2225,1543,454,615,769,1215,1756,1887,1666,2128,5,2023-11-18,Calcaric Cambisols,43.629418273765886,5.294634825434948,2080,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TFJ_0000000000000000083e_0,2557,1892,690,898,1100,1298,1676,1865,1958,2030,5,2023-11-18,Dolomitic Cambisols,43.34723710496175,5.082946091575694,2167,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231118T104321_20231118T104432_T31TFJ_000000000000000007c5_0,1915,1391,507,727,750,1208,1764,1921,2066,2138,5,2023-11-18,Eutric Fluvisols,43.78777090047127,4.706920151632265,2031,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
