system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20231128T104401_20231128T104509_T31TEK_0000000000000000067c_0,2339,1608,1670,1772,1738,2189,3025,3225,3588,3613,5,2023-11-28,Eutric Fluvisols,44.94635532617354,4.350662127624045,1678,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TEK_00000000000000000678_0,2275,1968,1918,1846,1670,1985,2421,2595,2910,2717,5,2023-11-28,Luvic Stagnosols,44.9581322392053,3.5401170376830255,1674,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TEK_000000000000000006c4_0,3149,2250,1572,1672,1778,2174,2694,2913,3332,3175,5,2023-11-28,Regosols (Colluvic),44.67399079291431,3.1306526990206116,1757,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TEK_000000000000000006ec_0,544,317,32,162,125,367,783,851,874,893,5,2023-11-28,Umbric Leptosols,44.52136256549968,3.93309169910545,1803,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TEK_000000000000000006ed_0,1806,1066,215,424,516,783,1286,1483,1576,1910,5,2023-11-28,Umbric Leptosols,44.518256756564014,4.1341622167647065,1804,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TEK_0000000000000000073d_0,1219,726,196,235,306,526,930,1006,1245,1245,5,2023-11-28,Umbric Leptosols,44.236384648730166,3.724898137012582,1887,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_00000000000000000742_0,492,285,329,347,300,499,878,1002,1042,1067,5,2023-11-28,Calcaric Arenosols,44.219111559499886,4.725009450432077,1892,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_00000000000000000770_0,2622,1816,557,1005,1238,1878,2196,2404,2132,2700,5,2023-11-28,Calcaric Cambisols,44.06587227044803,5.117781325738767,1940,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_000000000000000007f2_0,2004,1288,292,518,684,1202,1531,1691,1646,1911,5,2023-11-28,Calcaric Cambisols,43.629418273765886,5.294634825434948,2080,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_0000000000000000083e_0,3426,2514,977,1264,1444,1877,2477,2743,2978,3001,5,2023-11-28,Dolomitic Cambisols,43.34723710496175,5.082946091575694,2167,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_000000000000000007c5_0,1745,1242,454,636,684,1117,1562,1610,1912,1790,5,2023-11-28,Eutric Fluvisols,43.78777090047127,4.706920151632265,2031,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_00000000000000000797_0,524,396,203,214,271,348,464,486,424,523,5,2023-11-28,Haplic Luvisols,43.93950182631036,4.314972449656151,1983,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_000000000000000007c7_0,2014,1243,982,1294,1180,1759,2632,2671,2754,2881,5,2023-11-28,Regosols (Colluvic),43.778374794235376,5.103741429705629,2033,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFJ_0000000000000000079c_0,1554,932,216,362,463,687,871,1031,1130,1199,5,2023-11-28,Rendzic Leptosols,43.91686054583768,5.309604619382001,1988,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231128T104401_20231128T104509_T31TFK_000000000000000006a4_0,1597,1350,781,924,941,1173,1590,1713,1880,1909,5,2023-11-28,Umbric Leptosols,44.79862758841776,4.547538609615716,1721,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
