system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230310T102841_20230310T103224_T31TFJ_00000000000000000082_0,2608,2533,1082,1318,1576,1748,1756,1825,1882,1926,5,2023-03-10,Calcaric Fluvisols,43.48452000751878,4.800044859768553,SIM28025,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_00000000000000000770_0,2358,1698,814,1044,1270,1686,1908,2074,2028,2300,5,2023-03-10,Calcaric Cambisols,44.06587227044803,5.117781325738767,1940,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_000000000000000007f2_0,2556,1815,619,804,974,1391,1823,1918,2106,2203,5,2023-03-10,Calcaric Cambisols,43.629418273765886,5.294634825434948,2080,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_000000000000000007f3_0,2396,1880,874,1048,1210,1538,1905,2039,1834,2213,5,2023-03-10,Calcaric Cambisols,43.623827958036856,5.49245737035106,2081,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_000000000000000008e5_0,2396,1880,874,1048,1210,1538,1905,2039,1834,2213,5,2023-03-10,Calcaric Cambisols,43.623827958036856,5.49245737035106,12081,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_000000000000000007c7_0,2834,1947,2036,2152,2276,2345,3107,3409,3548,3555,5,2023-03-10,Regosols (Colluvic),43.778374794235376,5.103741429705629,2033,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TFJ_0000000000000000079c_0,2922,1939,750,944,1106,1432,1704,1895,2038,2140,5,2023-03-10,Rendzic Leptosols,43.91686054583768,5.309604619382001,1988,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TGH_0000000000000000085d_0,1983,1185,876,952,943,1168,1934,2053,2468,2179,5,2023-03-10,Chromic Cambisols,43.180654302945385,5.861369376671315,2205,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TGJ_00000000000000000746_0,615,411,347,360,375,399,460,501,518,523,5,2023-03-10,Calcaric Cambisols,44.19870862994588,5.524554734109808,1896,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T102841_20230310T103224_T31TGJ_00000000000000000748_0,731,436,296,297,321,384,526,568,622,632,5,2023-03-10,Calcaric Cambisols,44.18631421707882,5.924089790077051,1898,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
