system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230208T103211_20230208T103552_T31TEJ_0000000000000000008e_0,2073,1686,491,564,700,1131,1539,1612,1214,1595,5,2023-02-08,Calcaric Cambisols,43.82267482299646,4.27074147658991,SIM8588,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TEJ_000000000000000007ee_0,3878,3248,964,1436,2098,2315,2447,2573,2806,2722,5,2023-02-08,Chromic Luvisols,43.651940920186576,4.305007084751487,2075,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TEJ_00000000000000000797_0,2478,1795,669,1054,1244,1712,2302,2592,2342,2632,5,2023-02-08,Haplic Luvisols,43.93950182631036,4.314972449656151,1983,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TEJ_000000000000000007c3_0,2364,1849,612,764,828,1422,2005,2206,2210,2271,5,2023-02-08,Rendzic Leptosols,43.79571428157454,4.309977101992488,2029,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_0000000000000000008e_0,2084,1688,502,563,694,1133,1542,1615,1197,1597,5,2023-02-08,Calcaric Cambisols,43.82267482299646,4.27074147658991,SIM8588,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_00000000000000000082_0,2574,2342,1036,1340,1560,1756,1810,1887,2032,1953,5,2023-02-08,Calcaric Fluvisols,43.48452000751878,4.800044859768553,SIM28025,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_00000000000000000744_0,1031,689,107,377,290,600,1423,1772,1820,1708,5,2023-02-08,Calcaric Cambisols,44.20964169821894,5.124854537927698,1894,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_00000000000000000746_0,2651,1999,584,894,1206,1416,1638,1778,1942,1902,5,2023-02-08,Calcaric Cambisols,44.19870862994588,5.524554734109808,1896,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_00000000000000000770_0,3539,2873,1054,1482,1744,2327,2599,2739,2801,2915,5,2023-02-08,Calcaric Cambisols,44.06587227044803,5.117781325738767,1940,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_0000000000000000079a_0,2662,2039,722,992,1168,1451,1979,2224,2622,2403,5,2023-02-08,Calcaric Cambisols,43.92701001145798,4.911847809733699,1986,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000007f2_0,2561,1798,546,702,897,1301,1658,1923,1990,2160,5,2023-02-08,Calcaric Cambisols,43.629418273765886,5.294634825434948,2080,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000007f3_0,2281,1910,1068,1296,1488,1658,1855,1849,2009,1990,5,2023-02-08,Calcaric Cambisols,43.623827958036856,5.49245737035106,2081,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000008e5_0,2281,1910,1068,1296,1488,1658,1855,1849,2009,1990,5,2023-02-08,Calcaric Cambisols,43.623827958036856,5.49245737035106,12081,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000007f1_0,2711,1924,713,1023,1230,1595,2008,2359,2733,2536,5,2023-02-08,Chromic Cambisols,43.6395133952316,4.898879072072512,2078,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_00000000000000000819_0,2713,2086,432,657,910,1272,1511,1651,1722,1874,5,2023-02-08,Chromic Cambisols,43.49578793932041,4.892443928182583,2124,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000007ee_0,3899,3261,982,1450,2116,2334,2462,2589,2817,2738,5,2023-02-08,Chromic Luvisols,43.651940920186576,4.305007084751487,2075,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_0000000000000000083e_0,2652,1867,744,966,1106,1448,2137,2339,2610,2551,5,2023-02-08,Dolomitic Cambisols,43.34723710496175,5.082946091575694,2167,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208T103211_20230208T103552_T31TFJ_000000000000000007c5_0,1861,1494,533,680,832,1134,1615,1728,1794,1818,5,2023-02-08,Eutric Fluvisols,43.78777090047127,4.706920151632265,2031,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
