system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230517T103629_20230517T103641_T31TCH_0000000000000000086e_0,3666,3258,1498,2112,2614,2903,2941,3036,3220,3175,5,2023-05-17,Luvic Stagnosols,43.0930077715907,1.7359034787467902,2227,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TCJ_000000000000000007e1_0,4119,3200,1368,2252,2636,2993,3225,3485,3368,3590,5,2023-05-17,Calcaric Cambisols,43.66811185509377,1.7298359782939583,2062,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TCJ_00000000000000000832_0,3280,2595,1100,1672,2154,2212,2227,2269,2700,2404,5,2023-05-17,Calcaric Cambisols,43.379238151330306,1.5357705717025496,2152,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_0000000000000000003d_0,2371,1853,893,1448,1692,2002,2226,2542,2272,2514,5,2023-05-17,Eutric Cambisols,43.08330529252448,1.8953747700466825,SIM11644,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_00000000000000000859_0,3430,3034,1202,1656,1984,2304,2487,2642,2790,2784,5,2023-05-17,Calcaric Cambisols,43.23777831877379,2.7175602133262937,2197,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_0000000000000000085a_0,3291,2807,917,1270,1510,2270,2711,2997,3060,3147,5,2023-05-17,Calcaric Cambisols,43.23690439987196,2.9141879930672423,2198,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_0000000000000000085b_0,3044,2635,592,902,1170,1904,2316,2597,2260,2743,5,2023-05-17,Calcaric Cambisols,43.23566998923507,3.1108089650892605,2199,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_00000000000000000873_0,4003,3125,894,1540,1696,2576,3719,4113,3864,4125,5,2023-05-17,Calcaric Cambisols,43.094026894148875,2.7166120760122463,2232,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_00000000000000000895_0,2568,2227,647,1086,1748,1939,2086,2160,2176,2112,5,2023-05-17,Calcaric Cambisols,42.80571523077259,2.9098926161750236,2284,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517T103629_20230517T103641_T31TDH_0000000000000000089e_0,2592,2059,744,1034,1188,1720,2202,2427,2642,2452,5,2023-05-17,Calcaric Cambisols,42.6620252526446,2.9084752236407057,2304,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
