system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230615T102031_20230615T102026_T32TLP_000000000000000007d1_0,2271,1951,824,1019,939,1388,1580,1600,1738,1689,5,2023-06-15,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T102031_20230615T102026_T32TMN_00000000000000000896_0,3810,2825,615,886,1268,1640,1910,2084,2298,2445,5,2023-06-15,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TVT_00000000000000000302_0,4097,3433,2306,2784,3328,3291,3243,3466,4188,3578,5,2023-06-15,Eutric Cambisols,47.82183501774065,-3.8794472258604973,715,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TVT_00000000000000000337_0,2057,1689,937,926,926,1272,1677,1840,2018,1990,5,2023-06-15,Eutric Cambisols,47.70028701061572,-3.4376013023840137,772,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWS_00000000000000000473_0,2076,1675,772,972,1144,1423,1806,2009,2424,2202,5,2023-06-15,Eutric Stagnosols,46.76616538875665,-1.658487214209225,1113,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWS_0000000000000000049a_0,2350,1684,1028,1218,1334,1549,2000,2346,2504,2392,5,2023-06-15,Luvic Cambisols,46.61491530352095,-1.856505488431847,1153,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWS_0000000000000000044c_0,2223,1441,584,894,1170,1651,2185,2540,2762,2940,5,2023-06-15,Luvic Stagnosols,46.90992528077999,-1.66915941877578,1069,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWS_000000000000000004c1_0,3867,3256,1028,1506,1748,2135,3249,3673,3808,3929,5,2023-06-15,Luvic Stagnosols,46.47863416682716,-1.6373111825945834,1194,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWS_0000000000000000049b_0,3190,2277,1826,2146,2320,2662,3433,3813,3996,4161,5,2023-06-15,Regosols (Colluvic),46.622401223318654,-1.6478714452070151,1154,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWT_000000000000000003cc_0,3436,2132,2066,2190,2136,2826,3970,4497,4688,4852,5,2023-06-15,Eutric Stagnosols,47.333583331801385,-1.9129513545879697,934,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWT_000000000000000003f8_0,2810,2260,1456,1420,1386,1573,2444,2679,2342,2863,5,2023-06-15,Eutric Stagnosols,47.18986296924984,-1.9015428571110984,979,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615T110629_20230615T110637_T30TWT_000000000000000003f7_0,3761,3062,960,1350,1576,1968,2927,3268,3364,3479,5,2023-06-15,Luvic Stagnosols,47.18191339451739,-2.112349848353562,978,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
