system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20231018T101939_20231018T102622_T32TMM_000000000000000008bb_0,988,710,665,824,523,664,1084,1234,1730,1330,5,2023-10-18,Regosols (Colluvic),41.743569603937885,8.8480246176998,2350,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231018T101939_20231018T102622_T32TMM_000000000000000008b1_0,2339,1801,841,1072,1306,1374,1732,1851,1966,2003,5,2023-10-18,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231018T101939_20231018T102622_T32TMN_00000000000000000896_0,2713,1805,356,532,896,1324,1629,1961,2074,2376,5,2023-10-18,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
