system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230121T102239_20230121T102235_T32TLP_0000000000000000077b_0,1709,1226,686,942,1086,910,1221,1296,1918,1555,5,2023-01-21,Calcaric Cambisols,43.97860087216579,7.507048128172519,1952,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T102239_20230121T102235_T32TLP_000000000000000007d1_0,1320,1329,396,505,660,785,1118,1044,1794,1172,5,2023-01-21,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T102239_20230121T102235_T32TLP_000000000000000007cf_0,584,377,166,230,117,283,1002,1403,1414,1369,5,2023-01-21,Eutric Cambisols,43.71814908329949,6.887394156021858,2042,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TVT_00000000000000000302_0,3499,2668,1946,2570,3108,3462,3463,3596,3908,3802,5,2023-01-21,Eutric Cambisols,47.82183501774065,-3.8794472258604973,715,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TVT_00000000000000000337_0,689,444,244,190,282,422,561,679,502,712,5,2023-01-21,Eutric Cambisols,47.70028701061572,-3.4376013023840137,772,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TWT_0000000000000000033c_0,1021,601,0,149,206,395,690,839,850,1058,5,2023-01-21,Dystric Cambisols,47.7482335382835,-2.3736390450194715,777,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TWT_000000000000000003f8_0,1941,1686,485,778,802,1034,1826,1991,2000,2212,5,2023-01-21,Eutric Stagnosols,47.18986296924984,-1.9015428571110984,979,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TXS_0000000000000000049e_0,1791,1117,321,577,742,1045,1457,1519,1806,1699,5,2023-01-21,Eutric Cambisols,46.642567385032066,-1.0216466052080921,1157,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TXS_000000000000000004c4_0,1575,975,230,536,695,984,1399,1483,1744,1636,5,2023-01-21,Rendzic Leptosols,46.49874732915589,-1.0127412452653954,1197,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TXT_000000000000000003d1_0,1252,893,281,366,398,603,1006,1111,1238,1236,5,2023-01-21,Eutric Cambisols,47.36763519287751,-0.8552369504202991,939,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30TXT_00000000000000000375_0,1092,661,204,374,388,580,966,1065,1444,1320,5,2023-01-21,Luvic Stagnosols,47.66090850900484,-0.6596917441653571,837,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_00000000000000000296_0,612,326,0,60,0,244,987,1324,1223,1362,5,2023-01-21,Cambic Umbrisols,48.14122329814686,-3.270554266746055,603,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_000000000000000001f0_0,1485,861,325,686,798,1242,1659,1834,2098,1974,5,2023-01-21,Eutric Cambisols,48.538883932128854,-3.9650089388237966,423,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_00000000000000000224_0,1844,1030,456,590,944,1003,1473,1815,2432,2391,5,2023-01-21,Eutric Cambisols,48.39550411623658,-3.947708445773973,483,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_00000000000000000225_0,1684,976,238,420,700,1000,1388,1588,2144,2025,5,2023-01-21,Eutric Cambisols,48.406796823043386,-3.732350629901538,484,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_00000000000000000227_0,1044,648,234,413,417,736,1186,1280,1820,1690,5,2023-01-21,Eutric Cambisols,48.42820232114387,-3.3013639898733347,486,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_000000000000000002cd_0,1759,1117,292,554,846,1041,1144,1291,1516,1511,5,2023-01-21,Eutric Cambisols,47.98728986830847,-3.469061901186756,660,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_00000000000000000302_0,3467,2647,1906,2558,3096,3409,3418,3550,3908,3756,5,2023-01-21,Eutric Cambisols,47.82183501774065,-3.8794472258604973,715,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVU_000000000000000001bd_0,1232,1180,616,718,805,951,1218,1347,1192,1455,5,2023-01-21,Haplic Luvisols,48.68224633717815,-3.982405324202895,364,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UVV_000000000000000001bd_0,1208,1163,568,670,776,917,1187,1313,1172,1424,5,2023-01-21,Haplic Luvisols,48.68224633717815,-3.982405324202895,364,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_0000000000000000022e_0,1353,819,158,377,414,659,1001,1273,1344,1255,5,2023-01-21,Eutric Cambisols,48.49070813327293,-1.7904018128331645,493,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_00000000000000000260_0,660,339,766,822,529,1021,1993,2059,2017,2089,5,2023-01-21,Eutric Cambisols,48.304497672378425,-2.855766634131084,546,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_00000000000000000261_0,1520,747,954,1472,1036,2117,4391,4909,5361,5117,5,2023-01-21,Eutric Cambisols,48.31379700616817,-2.6405726417617643,547,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_00000000000000000298_0,975,560,99,213,209,387,812,902,1105,1201,5,2023-01-21,Eutric Cambisols,48.16094842139742,-2.8415726207827485,605,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_0000000000000000029d_0,1798,1205,442,858,1176,1460,1752,1814,2042,1933,5,2023-01-21,Eutric Cambisols,48.20339858969358,-1.7678149494821427,610,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_000000000000000002d2_0,1348,787,266,499,694,970,1360,1498,1788,1736,5,2023-01-21,Eutric Cambisols,48.035493994188954,-2.399329993439194,665,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_0000000000000000030c_0,1226,706,201,457,610,842,1180,1293,1428,1399,5,2023-01-21,Eutric Cambisols,47.91603430018279,-1.745476497248388,725,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121T111351_20230121T111351_T30UWU_0000000000000000029b_0,811,562,650,897,908,662,838,923,1079,967,5,2023-01-21,Luvic Cambisols,48.187595584835755,-2.1975268304275204,608,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
