system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20180323T102021_20180323T102021_T31TGJ_00000000000000000821_0,3012,2240,662,1150,1578,1971,2463,2590,2750,2849,5,2018-03-23,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_0000000000000000077b_0,2320,1608,1036,1376,1630,1284,1573,1729,2206,1952,5,2018-03-23,Calcaric Cambisols,43.97860087216579,7.507048128172519,1952,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_000000000000000007d1_0,1622,1475,228,381,614,850,992,996,1356,1174,5,2018-03-23,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_000000000000000007a5_0,2021,1411,66,253,314,714,1386,1335,1446,1615,5,2018-03-23,Eutric Cambisols,43.8532090612189,7.09732095845064,1997,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_00000000000000000821_0,2943,2141,653,1112,1448,1927,2552,2694,2836,2942,5,2018-03-23,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_000000000000000007d0_0,2694,1926,406,674,763,1488,2114,2384,2548,2574,5,2018-03-23,Rendzic Leptosols,43.709648048887615,7.0853222277099634,2043,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TLP_0000000000000000074e_0,672,390,568,994,878,1170,1977,2074,2178,2126,5,2018-03-23,Umbric Leptosols,44.14036972425976,7.121501735765849,1904,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TMM_000000000000000008b3_0,1051,597,1152,1340,1402,1796,2358,2630,3044,3086,5,2018-03-23,Mollic Umbrisols,42.16064388747673,9.088288101443597,2336,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TMM_000000000000000008b1_0,2667,2039,807,1158,1380,1474,1750,1867,2040,1970,5,2018-03-23,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TMN_00000000000000000896_0,4233,3412,1202,1772,2352,2621,2984,3145,3332,3269,5,2018-03-23,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TNL_00000000000000000061_0,3918,3145,1374,1646,1930,2705,3596,3869,3192,4235,5,2018-03-23,Chromic Cambisols,41.488043791574206,9.180057815281183,SIM19,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180323T102021_20180323T102021_T32TNM_00000000000000000061_0,3661,2945,1325,1520,1747,2488,3317,3570,2869,3926,5,2018-03-23,Chromic Cambisols,41.488043791574206,9.180057815281183,SIM19,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
