system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20180211T102141_20180211T102559_T31TGJ_00000000000000000821_0,3039,2345,555,952,1364,1715,2228,2396,2630,2580,5,2018-02-11,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T102141_20180211T102559_T31TGJ_000000000000000007f9_0,2291,1542,666,830,972,1256,1920,2190,2582,2373,5,2018-02-11,Rendzic Leptosols,43.582697588199665,6.678461245717135,2087,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T102141_20180211T102559_T32TLP_0000000000000000077b_0,2215,1534,885,1127,1531,1346,1532,1640,2483,1984,5,2018-02-11,Calcaric Cambisols,43.97860087216579,7.507048128172519,1952,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T102141_20180211T102559_T32TLP_00000000000000000821_0,2965,2235,486,881,1279,1675,2298,2447,2670,2653,5,2018-02-11,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T102141_20180211T102559_T32TLP_000000000000000007d0_0,2374,1735,504,660,866,1319,1802,2031,2220,2296,5,2018-02-11,Rendzic Leptosols,43.709648048887615,7.0853222277099634,2043,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T102141_20180211T102559_T32TMN_00000000000000000896_0,3285,2460,806,1209,1722,1953,2228,2404,2455,2538,5,2018-02-11,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T111159_20180211T111157_T30UVU_00000000000000000295_0,2918,1934,989,1265,966,2052,4728,5416,5989,5741,5,2018-02-11,Luvic Stagnosols,48.130772898429456,-3.4849213472514333,602,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T111159_20180211T111157_T30UWU_00000000000000000264_0,2811,1733,931,1171,811,1881,5645,6950,6972,7127,5,2018-02-11,Eutric Cambisols,48.339334864132006,-1.9945522108144844,550,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
