system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20180427T102019_20180427T102022_T31TGJ_00000000000000000821_0,4234,3856,1117,1700,2352,2813,3250,3394,3478,3625,5,2018-04-27,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TLP_0000000000000000077b_0,2323,1694,1028,1357,1492,1590,1962,2204,2506,2344,5,2018-04-27,Calcaric Cambisols,43.97860087216579,7.507048128172519,1952,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TLP_000000000000000007d1_0,2017,1953,772,1026,1050,1370,1447,1479,1626,1489,5,2018-04-27,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TLP_00000000000000000821_0,4135,3720,1051,1664,2312,2778,3249,3413,3557,3633,5,2018-04-27,Eutric Fluvisols,43.439121567783666,6.6675690269138865,2133,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TMM_000000000000000008ad_0,2483,1817,484,729,936,1248,1713,1893,1908,2112,5,2018-04-27,Umbric Leptosols,42.315905519983275,8.912076372712265,2322,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TMM_000000000000000008b1_0,2876,2237,945,1244,1429,1649,2074,2167,2306,2337,5,2018-04-27,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TMN_00000000000000000896_0,3894,3584,781,1150,1641,1890,2126,2256,2395,2441,5,2018-04-27,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180427T102019_20180427T102022_T32TNM_000000000000000008bd_0,2006,1622,1080,1094,1224,1489,1887,2009,1865,2053,5,2018-04-27,Umbric Leptosols,41.719122628621435,9.229844578555065,2352,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
