system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20180516T105029_20180516T105351_T30TYN_00000000000000000865_0,3165,2004,1584,1828,1570,2353,4191,4748,4928,5048,5,2018-05-16,Umbric Leptosols,43.06858100577897,-0.028717177430385,2218,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYS_0000000000000000055c_0,4513,3699,1005,1695,2494,2968,3185,3342,3385,3458,5,2018-05-16,Calcaric Cambisols,45.953079172109106,0.25962637648263687,1370,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYS_000000000000000004a5_0,3310,2705,792,1391,2043,2172,2523,2713,2737,2824,5,2018-05-16,Eutric Cambisols,46.67624425670514,0.4410565506621489,1164,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYT_0000000000000000037d_0,3248,2699,662,1209,1795,2073,2120,2217,2199,2236,5,2018-05-16,Eutric Cambisols,47.69231735110835,1.0443128583803534,845,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYT_000000000000000003aa_0,3877,3500,1046,1569,2261,2555,2628,2760,2823,2839,5,2018-05-16,Eutric Cambisols,47.542927371413136,0.6227839914739651,895,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYT_0000000000000000037c_0,4161,3793,1344,2101,2893,3193,3361,3617,3715,3809,5,2018-05-16,Haplic Luvisols,47.68975585042416,0.8312134254903143,844,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30TYT_000000000000000003d9_0,3521,3406,1105,1502,2000,2363,2562,2765,2784,2862,5,2018-05-16,Luvic Cambisols,47.4019787775616,0.8393340704118676,947,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T30UYU_0000000000000000034a_0,4511,4383,1425,2083,2743,3114,3415,3742,3792,3911,5,2018-05-16,Luvic Stagnosols,47.83066980746326,0.6134648025979296,791,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T31TCM_000000000000000004a5_0,3640,2973,802,1387,2062,2408,2550,2781,2733,2808,5,2018-05-16,Eutric Cambisols,46.67624425670514,0.4410565506621489,1164,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180516T105029_20180516T105351_T31TCN_000000000000000003ae_0,2861,2184,884,1225,1637,1794,2507,2655,2690,2906,5,2018-05-16,Calcaric Cambisols,47.552368234556766,1.4729089085002178,899,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
