system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20220627T100611_20220627T100933_T32TMM_000000000000000008b1_0,3291,2525,1188,1540,1792,2043,2352,2499,2588,2733,5,2022-06-27,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T100611_20220627T100933_T32TMN_00000000000000000896_0,3174,2069,880,1250,1534,2116,2757,3080,3196,3405,5,2022-06-27,Regosols (Colluvic),42.60220127734443,8.944575162283792,2287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TWS_00000000000000000473_0,2209,1944,1116,1274,1334,1415,1531,1656,1990,1718,5,2022-06-27,Eutric Stagnosols,46.76616538875665,-1.658487214209225,1113,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TWS_0000000000000000049a_0,2529,1935,781,992,1160,1444,1935,2239,2358,2268,5,2022-06-27,Luvic Cambisols,46.61491530352095,-1.856505488431847,1153,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TWS_0000000000000000049b_0,2424,1850,1036,1128,1180,1296,1742,2001,1782,2217,5,2022-06-27,Regosols (Colluvic),46.622401223318654,-1.6478714452070151,1154,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TWT_0000000000000000036f_0,3056,2349,1046,1240,1656,1921,2136,2331,2376,2556,5,2022-06-27,Eutric Cambisols,47.62099768741021,-1.9359505851256793,831,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TXR_0000000000000000059f_0,2611,1779,890,1108,1442,1612,1641,1796,2018,2017,5,2022-06-27,Calcaric Cambisols,45.63581734636525,-0.9602860183142399,1445,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TXR_000000000000000005ef_0,2851,1672,1654,1804,1670,2181,3295,3658,3892,4007,5,2022-06-27,Calcaric Cambisols,45.364523031408005,-0.3311353413334857,1531,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TXR_000000000000000005c5_0,2183,1557,687,888,1138,1433,1735,1912,1734,1958,5,2022-06-27,Luvic Cambisols,45.49783449185945,-0.747204710895901,1487,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627T105629_20220627T105917_T30TXR_00000000000000000556_0,3520,2440,948,1208,1220,1898,2342,2545,2942,2805,5,2022-06-27,Stagnic Gleysols,45.92345740043631,-0.9775871171113764,1364,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
