system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20221207T102411_20221207T102411_T32TLP_0000000000000000077b_0,1692,1072,661,830,996,954,1451,1557,2014,1787,5,2022-12-07,Calcaric Cambisols,43.97860087216579,7.507048128172519,1952,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TLP_000000000000000007d1_0,1408,1177,438,509,437,857,986,1032,1390,1017,5,2022-12-07,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TLP_000000000000000007d0_0,1221,789,173,327,298,611,1324,1413,1562,1611,5,2022-12-07,Rendzic Leptosols,43.709648048887615,7.0853222277099634,2043,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TMM_000000000000000008ad_0,1533,1046,350,488,623,889,1491,1589,1942,1874,5,2022-12-07,Umbric Leptosols,42.315905519983275,8.912076372712265,2322,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TNM_000000000000000008a3_0,982,872,492,546,631,675,1161,1320,1224,1447,5,2022-12-07,Umbric Leptosols,42.421364892739795,9.507880287665676,2311,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TNM_000000000000000008bd_0,925,593,338,442,475,626,975,1023,1186,1133,5,2022-12-07,Umbric Leptosols,41.719122628621435,9.229844578555065,2352,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TNN_00000000000000000897_0,697,367,215,246,311,338,926,1151,1526,1232,5,2022-12-07,Umbric Leptosols,42.58996196562447,9.1383292700287,2288,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T102411_20221207T102411_T32TNN_000000000000000008a3_0,984,865,452,525,619,663,1167,1335,1230,1468,5,2022-12-07,Umbric Leptosols,42.421364892739795,9.507880287665676,2311,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T111339_20221207T111352_T30TVT_00000000000000000302_0,3877,2970,1628,1982,2430,2901,3002,3178,3400,3448,5,2022-12-07,Eutric Cambisols,47.82183501774065,-3.8794472258604973,715,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221207T111339_20221207T111352_T30TVT_00000000000000000337_0,747,583,394,430,339,558,706,737,546,751,5,2022-12-07,Eutric Cambisols,47.70028701061572,-3.4376013023840137,772,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
