system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20211112T140051_20211112T140054_T21NZD_00000000000000000054_0,3401,2620,3682,3450,3154,3435,4000,4228,4352,4327,5,2021-11-12,Haplic Acrisols,3.2990628809289424,-53.336566055764834,SIM75556,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211112T140051_20211112T140054_T22NBL_0000000000000000006f_0,2684,2243,1666,2162,2056,1891,2379,2476,2400,2692,5,2021-11-12,Haplic Plinthosols,5.194508130421133,-52.76175422836363,SIM52507,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211112T140051_20211112T140054_T22NCL_0000000000000000006f_0,2689,2245,1708,2180,2064,1908,2420,2520,2438,2732,5,2021-11-12,Haplic Plinthosols,5.194508130421133,-52.76175422836363,SIM52507,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
