system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20200630T102031_20200630T102422_T32TLP_000000000000000007d1_0,1743,1476,812,822,938,1146,1377,1412,1616,1393,5,2020-06-30,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TLP_0000000000000000074f_0,3745,2771,1192,1714,1748,2655,3357,3490,3516,3594,5,2020-06-30,Haplic Vertisols,44.13143666427052,7.320869459406307,1905,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TLP_0000000000000000074d_0,2218,1524,1028,1346,1274,1790,2679,2928,2974,3003,5,2020-06-30,Regosols (Colluvic),44.14893823428377,6.922072746537621,1903,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TLQ_0000000000000000074d_0,2194,1513,966,1286,1230,1735,2594,2832,2896,2916,5,2020-06-30,Regosols (Colluvic),44.14893823428377,6.922072746537621,1903,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TMM_000000000000000008be_0,3108,1832,460,750,984,1411,1839,2121,2176,2434,5,2020-06-30,Eutric Cambisols,41.58852524795022,9.022695648407758,2355,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TMM_000000000000000008b8_0,3792,2739,868,1198,1628,2071,2258,2455,2542,2800,5,2020-06-30,Mollic Umbrisols,41.886619302369944,8.863920950143937,2345,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TMM_000000000000000008b1_0,3385,2599,1102,1482,1716,1971,2312,2479,2512,2703,5,2020-06-30,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TNM_000000000000000008be_0,3104,1830,474,758,987,1413,1840,2121,2178,2433,5,2020-06-30,Eutric Cambisols,41.58852524795022,9.022695648407758,2355,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T102031_20200630T102422_T32TNN_00000000000000000897_0,2296,1662,516,812,1010,1195,1777,1992,2302,2226,5,2020-06-30,Umbric Leptosols,42.58996196562447,9.1383292700287,2288,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T140101_20200630T140057_T22NBL_0000000000000000006f_0,2702,2025,915,1030,1124,1433,1873,1877,1562,2251,5,2020-06-30,Haplic Plinthosols,5.194508130421133,-52.76175422836363,SIM52507,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T140101_20200630T140057_T22NBL_00000000000000000079_0,5110,3935,5560,5436,5244,5721,6134,6283,6256,6534,5,2020-06-30,Haplic Plinthosols,5.167558671897547,-52.75474902815866,SIM79106,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T140101_20200630T140057_T22NCK_00000000000000000002_0,2609,2188,1592,1694,1594,2109,2947,3289,3044,3520,5,2020-06-30,Geric Ferralsols,4.34,-52.50000000000001,71720,"{LAC-SOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200630T140101_20200630T140057_T22NCL_0000000000000000006f_0,2713,2037,965,1062,1144,1454,1892,1894,1572,2270,5,2020-06-30,Haplic Plinthosols,5.194508130421133,-52.76175422836363,SIM52507,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
