system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20200830T103629_20200830T104646_T31TDH_0000000000000000006a_0,3316,2242,791,939,1240,1576,1871,2072,2214,2382,5,2020-08-30,Calcaric Cambisols,43.25643616146044,2.453036771590776,SIM23594,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000858_0,2606,1617,642,927,1042,1578,1975,2208,2646,2541,5,2020-08-30,Calcaric Cambisols,43.23829353328013,2.520928813086623,2196,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_0000000000000000085b_0,2875,2118,553,816,889,2000,2693,2762,2744,2893,5,2020-08-30,Calcaric Cambisols,43.23566998923507,3.1108089650892605,2199,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000871_0,2758,1729,597,772,987,1319,1654,1919,2102,2261,5,2020-08-30,Calcaric Cambisols,43.09469607384413,2.3243282873192377,2230,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000872_0,2798,1669,646,890,990,1587,2113,2358,2504,2712,5,2020-08-30,Calcaric Cambisols,43.09454041537799,2.520470944219245,2231,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000873_0,3006,1879,682,979,1170,1594,1989,2278,2536,2607,5,2020-08-30,Calcaric Cambisols,43.094026894148875,2.7166120760122463,2232,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000895_0,3091,2309,667,811,1148,1344,1484,1615,1766,1821,5,2020-08-30,Calcaric Cambisols,42.80571523077259,2.9098926161750236,2284,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_0000000000000000089e_0,2618,2180,675,954,1238,1713,2012,2204,2207,2351,5,2020-08-30,Calcaric Cambisols,42.6620252526446,2.9084752236407057,2304,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_000000000000000008ab_0,2976,2449,868,1202,2058,2178,2860,2780,3278,2936,5,2020-08-30,Regosols (Colluvic),42.5171379429873,3.1012569688336855,2319,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TDH_00000000000000000875_0,2767,2669,1140,1648,1864,2224,2071,2144,2016,2170,5,2020-08-30,Stagnic Gleysols,43.091924316673435,3.108878696679787,2234,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEH_0000000000000000085b_0,2915,2128,502,807,884,2091,2824,2885,2872,3010,5,2020-08-30,Calcaric Cambisols,43.23566998923507,3.1108089650892605,2199,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEH_000000000000000008ab_0,3060,2500,860,1236,2176,2302,3019,2916,3428,3073,5,2020-08-30,Regosols (Colluvic),42.5171379429873,3.1012569688336855,2319,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEH_00000000000000000875_0,2838,2705,1186,1754,1986,2378,2210,2285,2136,2300,5,2020-08-30,Stagnic Gleysols,43.091924316673435,3.108878696679787,2234,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEJ_00000000000000000066_0,3182,2480,976,1366,1730,2042,2420,2650,2912,2885,5,2020-08-30,Chromic Cambisols,43.438877638553414,3.7161008590451607,SIM29157,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEJ_000000000000000007bd_0,3617,2550,1782,1960,2078,2554,3579,3981,4180,4310,5,2020-08-30,Calcaric Cambisols,43.81082817775317,3.1186271740423095,2023,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830T103629_20200830T104646_T31TEJ_000000000000000007c2_0,2701,1851,1076,1294,1692,1870,2303,2495,2632,2729,5,2020-08-30,Calcaric Cambisols,43.7991410171107,4.111467427699521,2028,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
