system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20200725T101559_20200725T102124_T32TLP_000000000000000007d1_0,2320,2301,869,963,1214,1303,1547,1511,1726,1565,5,2020-07-25,Calcaric Cambisols,43.700785295977404,7.283190414533536,2044,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TLP_0000000000000000074d_0,2364,1658,1144,1450,1368,1871,2761,3028,3232,3152,5,2020-07-25,Regosols (Colluvic),44.14893823428377,6.922072746537621,1903,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TLQ_0000000000000000074d_0,2342,1649,1104,1400,1332,1827,2688,2948,3146,3083,5,2020-07-25,Regosols (Colluvic),44.14893823428377,6.922072746537621,1903,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TMM_000000000000000008be_0,3150,1961,454,696,879,1386,1801,2070,2228,2448,5,2020-07-25,Eutric Cambisols,41.58852524795022,9.022695648407758,2355,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TMM_000000000000000008b8_0,4042,3245,1004,1328,1852,2313,2372,2593,2668,2935,5,2020-07-25,Mollic Umbrisols,41.886619302369944,8.863920950143937,2345,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TMM_000000000000000008b1_0,3290,2573,979,1228,1532,1787,2005,2171,2208,2371,5,2020-07-25,Umbric Leptosols,42.18458239847331,8.703525506772506,2334,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TNM_000000000000000008be_0,3133,1954,488,716,885,1384,1804,2073,2230,2448,5,2020-07-25,Eutric Cambisols,41.58852524795022,9.022695648407758,2355,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TNM_000000000000000008a1_0,2510,3032,840,1456,2078,2034,2641,3109,1690,3581,5,2020-07-25,Regosols (Colluvic),42.44683601879932,9.121567094222367,2309,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TNN_000000000000000008a1_0,2537,3071,883,1520,2126,2090,2725,3207,1754,3670,5,2020-07-25,Regosols (Colluvic),42.44683601879932,9.121567094222367,2309,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T101559_20200725T102124_T32TNN_00000000000000000897_0,2313,1668,537,741,929,1146,1824,2082,2448,2330,5,2020-07-25,Umbric Leptosols,42.58996196562447,9.1383292700287,2288,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T140059_20200725T140054_T22NBJ_00000000000000000073_0,2832,2414,2546,2490,2374,2697,3263,3627,3610,3730,5,2020-07-25,Haplic Acrisols,2.993635684328305,-53.06238397394589,SIM66574,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200725T140059_20200725T140054_T22NCK_00000000000000000002_0,3402,2487,3098,3480,3650,4125,4457,4789,4000,4852,5,2020-07-25,Geric Ferralsols,4.34,-52.50000000000001,71720,"{LAC-SOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
