system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20201027T105141_20201027T105447_T30TYN_0000000000000000087d_0,2272,1893,1404,1556,1564,1850,2331,2513,2634,2777,5,2020-10-27,Fibric Histosols,42.93625055232636,0.5637405651906553,2249,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T30TYN_0000000000000000084f_0,2533,1924,990,1354,1310,1842,2728,3008,2966,3300,5,2020-10-27,Luvic Stagnosols,43.2267447441991,0.7514151139965505,2187,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T30TYP_0000000000000000084f_0,2594,1986,1090,1458,1388,1971,2878,3142,3088,3426,5,2020-10-27,Luvic Stagnosols,43.2267447441991,0.7514151139965505,2187,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCH_00000000000000000851_0,3162,2513,2044,2270,2228,2626,3352,3524,3692,3654,5,2020-10-27,Eutric Fluvisols,43.23182816564217,1.144566378641492,2189,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCH_0000000000000000086a_0,2430,1963,1304,1548,1554,2048,2743,2968,2864,3175,5,2020-10-27,Luvic Cambisols,43.085734382434524,0.9514490140262752,2223,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCH_0000000000000000086e_0,3149,2160,1120,1500,1910,2348,2783,3025,3204,3375,5,2020-10-27,Luvic Stagnosols,43.0930077715907,1.7359034787467902,2227,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCJ_000000000000000007de_0,2217,1541,402,678,980,1187,1322,1454,1478,1617,5,2020-10-27,Calcaric Cambisols,43.6607654692577,0.9374759088034046,2058,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCJ_000000000000000008e4_0,2737,1702,4516,4580,4508,4840,4960,5020,4968,5074,5,2020-10-27,Eutric Cambisols,44.09960596497614,1.725205486155821,11923,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCJ_0000000000000000075f_0,2870,2134,2700,2812,2906,3235,3486,3513,3658,3635,5,2020-10-27,Haplic Luvisols,44.098302699886354,1.5255881066600492,1922,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCJ_00000000000000000808_0,2862,2104,716,1098,1456,1841,2090,2278,2296,2559,5,2020-10-27,Luvic Stagnosols,43.51935670825821,1.1385679467238081,2105,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TCJ_00000000000000000809_0,2280,1984,1162,1312,1432,1717,2125,2264,2178,2374,5,2020-10-27,Technosols,43.521369132715655,1.336155148233926,2106,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T105141_20201027T105447_T31TDH_00000000000000000855_0,2222,1604,858,1090,1168,1421,1678,1822,1924,1953,5,2020-10-27,Rendzic Leptosols,43.237681525941696,1.9310260055678181,2193,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
