system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20191220T110349_20191220T110434_T30TXQ_0000000000000000068b_0,1823,1509,3516,3552,3096,2302,2157,2167,3488,2370,5,2019-12-20,Eutric Cambisols,44.78413733927169,-0.5056548387951271,1696,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TXQ_0000000000000000068a_0,2614,2418,973,1188,1488,1715,2559,2856,2830,3089,5,2019-12-20,Umbric Podzols,44.77874883782861,-0.707573335382756,1695,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TXR_000000000000000005a2_0,3346,2535,1642,2144,2216,2842,3571,3809,3886,3979,5,2019-12-20,Calcaric Cambisols,45.65223876933945,-0.3450692344122223,1448,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYN_0000000000000000084c_0,2504,1578,725,852,1274,1506,1662,1759,1960,2099,5,2019-12-20,Eutric Cambisols,43.21642624564816,0.16184093803944713,2184,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYP_0000000000000000082b_0,2308,1485,771,1028,1502,1546,1708,1837,2280,2086,5,2019-12-20,Haplic Luvisols,43.36014192458075,0.15638714441469706,2145,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYR_00000000000000000062_0,2391,1670,524,794,1262,1450,1564,1712,1826,1852,5,2019-12-20,Calcaric Cambisols,45.9412014057957,0.065289686897003,SIM30965,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYR_000000000000000005a2_0,3370,2545,1684,2172,2230,2846,3576,3818,3892,3988,5,2019-12-20,Calcaric Cambisols,45.65223876933945,-0.3450692344122223,1448,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYR_000000000000000005f0_0,3792,3127,586,1538,2304,3539,4644,4925,3088,5123,5,2019-12-20,Eutric Cambisols,45.36922081868101,-0.12705033910126268,1532,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYR_0000000000000000055b_0,2116,1365,404,758,955,1352,1767,1935,1960,2040,5,2019-12-20,Rendzic Leptosols,45.94908569567597,0.0533355420428352,1369,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYR_00000000000000000582_0,2810,1882,662,1110,1394,2074,2697,2819,2858,2985,5,2019-12-20,Rendzic Leptosols,45.809179554957446,0.2650661302913653,1411,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYS_00000000000000000062_0,2344,1639,463,746,1216,1408,1519,1664,1772,1807,5,2019-12-20,Calcaric Cambisols,45.9412014057957,0.065289686897003,SIM30965,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYS_00000000000000000534_0,2328,1518,638,882,1162,1603,1880,2041,2050,2224,5,2019-12-20,Calcaric Cambisols,46.08859385191447,-0.1594768947852432,1326,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYS_000000000000000004a7_0,2356,1660,720,1174,1478,1886,2501,2745,2828,2833,5,2019-12-20,Eutric Cambisols,46.68242330115931,0.8592545683175709,1166,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYS_00000000000000000513_0,2231,1491,606,993,1204,1767,2340,2517,2536,2554,5,2019-12-20,Luvic Cambisols,46.240882187673726,0.2486608574550119,1287,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30TYS_0000000000000000055b_0,2072,1337,348,714,918,1310,1715,1883,1904,1989,5,2019-12-20,Rendzic Leptosols,45.94908569567597,0.0533355420428352,1369,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UWU_0000000000000000022f_0,1957,1304,372,536,670,1133,1512,1677,1864,1822,5,2019-12-20,Eutric Cambisols,48.49806019403205,-1.5742748496016117,494,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UXU_0000000000000000022f_0,1956,1301,433,569,691,1150,1521,1684,1874,1826,5,2019-12-20,Eutric Cambisols,48.49806019403205,-1.5742748496016117,494,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UXU_00000000000000000312_0,2120,1363,456,825,951,1405,1966,2215,2312,2359,5,2019-12-20,Eutric Cambisols,47.95381065424751,-0.4619779530939299,731,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UXV_00000000000000000195_0,3840,3897,637,852,1530,2599,3669,4121,2462,4482,5,2019-12-20,Eutric Cambisols,48.96505740516447,-0.2981623616532973,321,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UYU_000000000000000002dd_0,2301,1631,526,730,1096,1384,1534,1696,1857,1878,5,2019-12-20,Calcaric Cambisols,48.107085541086306,-0.040260188681335705,676,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UYU_00000000000000000315_0,1389,1253,601,755,894,1159,1117,1176,1108,1170,5,2019-12-20,Eutric Cambisols,47.96741451532722,0.18037000413400373,734,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UYU_00000000000000000317_0,2740,1911,720,1220,1560,2149,2485,2752,2910,2888,5,2019-12-20,Eutric Cambisols,47.97452533653467,0.608767793538443,736,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UYV_00000000000000000196_0,1864,1323,395,558,533,1485,2031,2022,1186,2119,5,2019-12-20,Calcaric Cambisols,48.96967678241227,-0.0798881691545023,322,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T30UYV_0000000000000000019c_0,3348,3485,1136,1554,1844,2570,3317,3799,2598,4194,5,2019-12-20,Eutric Cambisols,48.9890140623296,1.2304298587690576,328,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T31TCM_000000000000000004a7_0,2304,1654,636,1090,1428,1841,2433,2679,2576,2738,5,2019-12-20,Eutric Cambisols,46.68242330115931,0.8592545683175709,1166,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T31UCP_00000000000000000317_0,2659,1829,749,1220,1554,2020,2486,2655,2908,2847,5,2019-12-20,Eutric Cambisols,47.97452533653467,0.608767793538443,736,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220T110349_20191220T110434_T31UCQ_0000000000000000019c_0,3501,3447,1094,1524,1820,2763,3439,3855,2568,4178,5,2019-12-20,Eutric Cambisols,48.9890140623296,1.2304298587690576,328,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
