system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20190217T104119_20190217T104422_T31TCH_00000000000000000854_0,2693,2116,787,1360,1338,1986,2578,2781,3074,2754,5,2019-02-17,Mollic Umbrisols,43.23675734912461,1.7343973183347328,2192,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TCJ_000000000000000007e1_0,2872,2276,829,1376,1678,1937,2065,2178,2130,2276,5,2019-02-17,Calcaric Cambisols,43.66811185509377,1.7298359782939583,2062,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TCJ_00000000000000000832_0,2157,1708,685,965,1202,1324,1410,1515,1620,1574,5,2019-02-17,Calcaric Cambisols,43.379238151330306,1.5357705717025496,2152,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TCJ_00000000000000000833_0,3254,2498,703,1088,1266,1906,2358,2402,3010,2804,5,2019-02-17,Regosols (Colluvic),43.3805251082789,1.7328839686620165,2153,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDG_000000000000000008b0_0,1548,1018,298,409,515,541,744,920,1348,1145,5,2019-02-17,Eutric Cambisols,42.37607751557343,2.5182206547303103,2329,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_0000000000000000003d_0,2182,1631,656,1136,1106,1601,2294,2477,2534,2528,5,2019-02-17,Eutric Cambisols,43.08330529252448,1.8953747700466825,SIM11644,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_00000000000000000870_0,2568,1762,613,877,933,1350,2099,2258,2846,2521,5,2019-02-17,Calcaric Cambisols,43.094492232872064,2.1281842266731097,2229,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_00000000000000000895_0,2254,1669,430,628,684,1131,1644,1784,2044,1944,5,2019-02-17,Calcaric Cambisols,42.80571523077259,2.9098926161750236,2284,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_000000000000000008b0_0,1558,1024,279,398,515,537,744,918,1366,1150,5,2019-02-17,Eutric Cambisols,42.37607751557343,2.5182206547303103,2329,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_000000000000000008a6_0,2933,2018,1968,1898,2382,2393,2726,3313,3463,3134,5,2019-02-17,Regosols (Colluvic),42.51967799126664,2.1302565886024913,2314,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_000000000000000008ab_0,2246,1798,555,854,1106,1568,2381,2696,3165,2670,5,2019-02-17,Regosols (Colluvic),42.5171379429873,3.1012569688336855,2319,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDH_00000000000000000875_0,1947,1713,1044,1378,1544,1615,1588,1651,1595,1624,5,2019-02-17,Stagnic Gleysols,43.091924316673435,3.108878696679787,2234,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_00000000000000000760_0,3292,2530,594,1016,1570,1686,1990,2098,2235,2333,5,2019-02-17,Calcaric Cambisols,44.10054393938835,1.9248303898472057,1924,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_000000000000000007e3_0,2600,2389,1042,1412,1738,1904,1909,2043,2163,2009,5,2019-02-17,Calcaric Cambisols,43.66961104280001,2.1260713188749483,2064,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_000000000000000007b9_0,2842,1941,553,958,1216,1665,2684,2919,3017,3025,5,2019-02-17,Luvic Cambisols,43.813637782487255,2.324160020455109,2019,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_000000000000000007e2_0,2983,2136,713,1054,1260,1550,2141,2403,2457,2589,5,2019-02-17,Luvic Cambisols,43.669042809087784,1.9279512878727754,2063,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_00000000000000000834_0,3560,3159,1390,1966,2332,2522,2596,2699,2940,2739,5,2019-02-17,Regosols (Colluvic),43.38145144609924,1.9300054714673698,2154,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDJ_00000000000000000765_0,1911,1281,392,514,568,898,1275,1504,1933,1670,5,2019-02-17,Umbric Leptosols,44.09975448158712,2.9229781145275946,1929,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_0000000000000000064e_0,2114,1221,565,766,966,1533,2071,2292,2546,2751,5,2019-02-17,Dystric Cambisols,45.10698726246538,2.933572992955146,1630,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_00000000000000000698_0,2721,1868,462,706,809,1092,1586,1739,2282,1967,5,2019-02-17,Eutric Cambisols,44.82053997861645,2.1217179082375526,1709,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_000000000000000006e4_0,3173,1971,642,837,1038,1357,1800,2062,2654,2501,5,2019-02-17,Eutric Cambisols,44.53216206535679,1.9216598505873328,1793,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_0000000000000000064c_0,2840,1861,455,614,951,1148,1488,1739,2118,2010,5,2019-02-17,Regosols (Colluvic),45.1084273146216,2.5270939178683403,1628,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_000000000000000006c1_0,2549,1719,757,903,909,1155,1673,1855,1902,2184,5,2019-02-17,Umbric Leptosols,44.67668487875769,2.5256338930123405,1754,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDK_0000000000000000001e_0,2897,2580,439,590,809,1052,1300,1473,1656,1717,5,2019-02-17,Dystric Gleysols,45.09722222,2.1222222199999994,68781,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_0000000000000000064e_0,2110,1213,534,746,954,1518,2062,2289,2548,2750,5,2019-02-17,Dystric Cambisols,45.10698726246538,2.933572992955146,1630,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_000000000000000005fe_0,3287,2292,566,795,953,1551,2106,2372,2702,2907,5,2019-02-17,Eutric Cambisols,45.39575379373095,2.7323767455797547,1546,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_00000000000000000625_0,2746,2059,700,942,1188,1406,1662,1850,2700,2212,5,2019-02-17,Eutric Cambisols,45.252355629318394,2.527585083080404,1587,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_00000000000000000627_0,3354,2340,484,816,1094,1608,1989,2197,2452,2568,5,2019-02-17,Eutric Cambisols,45.250912370554616,2.9351172726186774,1589,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_0000000000000000058f_0,1068,680,531,705,787,1709,2427,2501,2146,2636,5,2019-02-17,Mollic Umbrisols,45.826662023108426,2.9413825046590283,1424,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_000000000000000005d4_0,2240,1465,357,508,648,939,1375,1526,1954,1924,5,2019-02-17,Regosols (Colluvic),45.54039122965766,2.3237405605672454,1502,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_0000000000000000064c_0,2807,1838,429,592,933,1130,1469,1716,2094,1986,5,2019-02-17,Regosols (Colluvic),45.1084273146216,2.5270939178683403,1628,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_00000000000000000626_0,2672,1793,614,911,1078,1502,2114,2407,2678,2701,5,2019-02-17,Umbric Leptosols,45.25182065229492,2.731353427250904,1588,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDL_0000000000000000001e_0,2894,2575,410,574,802,1047,1294,1466,1648,1712,5,2019-02-17,Dystric Gleysols,45.09722222,2.1222222199999994,68781,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_000000000000000004b1_0,2414,1494,364,481,645,998,1371,1612,1878,2023,5,2019-02-17,Albic Podzols,46.69033501204828,2.951027483892543,1176,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_0000000000000000051e_0,2234,1384,338,472,546,865,1430,1557,1656,1847,5,2019-02-17,Eutric Cambisols,46.25997072554773,2.5310982294093853,1298,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_00000000000000000489_0,2729,1868,428,608,817,1163,1633,1936,2010,2274,5,2019-02-17,Eutric Planosols,46.83427557950005,2.952666633533814,1135,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_00000000000000000488_0,2629,1749,685,1088,1200,1826,2422,2581,2872,2825,5,2019-02-17,Eutric Retisols,46.835211482898934,2.7429212005666344,1134,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_000000000000000004d5_0,2019,1313,362,412,511,777,1136,1343,1506,1626,5,2019-02-17,Haplic Luvisols,46.54732226533228,2.7407660252405748,1215,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_00000000000000000540_0,3244,2317,871,1340,1470,1823,2745,2960,3216,3083,5,2019-02-17,Luvic Stagnosols,46.11602001349392,2.5305880344950036,1339,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDM_00000000000000000013_0,2052,1310,272,364,546,763,991,1171,1462,1523,5,2019-02-17,Eutric Planosols,46.45416667,2.90416667,66250,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TDN_00000000000000000438_0,1989,1303,135,260,458,670,1016,1100,1488,1551,5,2019-02-17,Luvic Stagnosols,47.12214399573959,2.955972510572236,1047,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEH_000000000000000008ab_0,2335,1850,404,786,1104,1629,2534,2877,3396,2838,5,2019-02-17,Regosols (Colluvic),42.5171379429873,3.1012569688336855,2319,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEJ_00000000000000000767_0,2719,1944,520,692,776,1095,1582,1750,2076,1972,5,2019-02-17,Chromic Cambisols,44.096880677203906,3.322201988005559,1931,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEJ_000000000000000007c3_0,2973,2570,1258,1426,1548,2026,2687,2974,3162,3184,5,2019-02-17,Rendzic Leptosols,43.79571428157454,4.309977101992488,2029,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_000000000000000006a0_0,2755,1776,925,1158,1285,1734,2243,2502,2763,2755,5,2019-02-17,Dystric Cambisols,44.811854530814195,3.7391688969725227,1717,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_000000000000000006c8_0,2635,1903,488,820,1169,1501,1863,1969,2123,2169,5,2019-02-17,Eutric Cambisols,44.665228431993945,3.937183399035445,1761,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_000000000000000006ea_0,2519,1738,412,615,676,1149,1473,1586,1914,1814,5,2019-02-17,Rendzic Leptosols,44.528469503051625,3.329761006459305,1800,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_000000000000000006ee_0,2737,1937,543,739,903,1205,1670,1820,2026,2067,5,2019-02-17,Rendzic Leptosols,44.51478295625641,4.335209410010762,1805,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_0000000000000000073c_0,3240,2423,652,952,1218,1776,2060,2189,2438,2472,5,2019-02-17,Rendzic Leptosols,44.23874168929613,3.5248106592311035,1886,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEK_0000000000000000073f_0,4315,4481,2810,3028,3206,3296,3957,4171,4347,4368,5,2019-02-17,Umbric Leptosols,44.23057377600225,4.12501526035099,1889,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_00000000000000000593_0,1840,1629,461,633,851,866,1146,1258,1584,1424,5,2019-02-17,Dystric Cambisols,45.81921837354532,3.764872564840007,1428,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_000000000000000005b6_0,2500,1622,393,599,730,1105,1615,1756,2029,2001,5,2019-02-17,Dystric Cambisols,45.67249910704851,3.96643507050283,1469,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_0000000000000000062c_0,3705,2593,722,1038,1410,1732,2164,2531,2924,2908,5,2019-02-17,Dystric Cambisols,45.24077317645841,3.953769285763391,1594,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_00000000000000000590_0,2114,1823,682,908,1354,1454,1332,1677,2388,1885,5,2019-02-17,Eutric Cambisols,45.82536654174085,3.14727434954861,1425,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_00000000000000000600_0,3045,2127,561,724,951,1159,1653,1764,2031,2073,5,2019-02-17,Eutric Cambisols,45.39355813204673,3.1409573437407907,1548,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_000000000000000005b7_0,2141,1887,425,611,1009,1259,1553,1567,1675,1671,5,2019-02-17,Eutric Planosols,45.669326793727166,4.171706692624691,1470,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_000000000000000005d8_0,2377,1762,426,598,706,1127,1571,1731,1701,1958,5,2019-02-17,Haplic Vertisols,45.53749059550481,3.1430513588344695,1506,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_0000000000000000056b_0,1828,1534,626,747,927,1021,1127,1193,1314,1262,5,2019-02-17,Regosols (Colluvic),45.96763063983362,3.355823049470566,1385,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_00000000000000000591_0,1788,1400,500,572,752,835,952,1016,1099,1101,5,2019-02-17,Regosols (Colluvic),45.82369394842808,3.353154862632251,1426,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEL_000000000000000005b2_0,2856,2308,614,803,1172,1355,1523,1695,1869,1965,5,2019-02-17,Regosols (Colluvic),45.681427208986456,3.1451570403686984,1465,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_00000000000000000544_0,1828,1157,307,385,473,734,1112,1238,1674,1564,5,2019-02-17,Calcaric Cambisols,46.111568791030955,3.3585052335869405,1343,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_000000000000000004b3_0,2687,1752,537,681,775,1161,1833,2082,2055,2271,5,2019-02-17,Eutric Retisols,46.68731917934669,3.3693764419326433,1178,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_000000000000000004da_0,2592,1902,613,930,992,1442,2252,2473,2730,2580,5,2019-02-17,Eutric Stagnosols,46.53884808772313,3.7838164892692934,1220,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_000000000000000004b4_0,2629,1895,635,947,1196,1463,2047,2305,2574,2450,5,2019-02-17,Haplic Luvisols,46.6852369563891,3.578530612144559,1179,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_0000000000000000056b_0,1823,1530,633,753,927,1018,1133,1192,1316,1269,5,2019-02-17,Regosols (Colluvic),45.96763063983362,3.355823049470566,1385,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_0000000000000000000d_0,2917,1854,422,597,948,1217,1568,1895,2341,2257,5,2019-02-17,Chromic Luvisols,46.594444440000004,3.41805556,66248,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEM_0000000000000000000c_0,2363,1792,619,768,1009,1084,1178,1275,1522,1447,5,2019-02-17,Haplic Vertisols,46.32222222,3.46388889,68777,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEN_00000000000000000084_0,3229,2349,592,870,1258,1657,2168,2401,2808,2796,5,2019-02-17,Eutric Cambisols,47.11452367322506,3.6127323073983724,SIM87770,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEN_00000000000000000416_0,2743,2219,585,1015,1390,1587,1925,2093,2421,2177,5,2019-02-17,Calcaric Cambisols,47.24863075794484,4.437286060360243,1009,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEN_00000000000000000415_0,1901,1278,295,392,581,754,969,1047,1209,1345,5,2019-02-17,Cambic Umbrisols,47.252283039828995,4.225975051446358,1008,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEN_0000000000000000035c_0,2718,2103,483,787,1112,1346,1708,1823,2060,2012,5,2019-02-17,Eutric Cambisols,47.82407340617893,4.4601231189041926,809,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T104119_20190217T104422_T31TEN_0000000000000000038a_0,1935,1698,388,677,1036,1157,1200,1331,1388,1354,5,2019-02-17,Eutric Cambisols,47.69010033133988,3.81520383273741,858,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
