system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20190717T104029_20190717T104353_T31TDL_000000000000000005ae_0,4394,2714,836,1118,1564,2105,2585,2954,3360,3507,5,2019-07-17,Dystric Cambisols,45.68433522031902,2.3237039273097384,1461,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDL_000000000000000005af_0,3025,2163,1446,1754,1786,2338,3716,4387,4240,4665,5,2019-07-17,Eutric Cambisols,45.68417278969785,2.529073819278641,1462,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDM_00000000000000000488_0,5741,4963,1688,2386,3190,3700,3884,4240,4484,4602,5,2019-07-17,Eutric Retisols,46.835211482898934,2.7429212005666344,1134,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDM_000000000000000004d6_0,4221,2793,961,1272,1886,2300,2679,3080,3384,3579,5,2019-07-17,Haplic Luvisols,46.546391687559506,2.9493976467387704,1216,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDM_00000000000000000540_0,2570,1495,852,1128,1650,1993,2326,2603,2750,3024,5,2019-07-17,Luvic Stagnosols,46.11602001349392,2.5305880344950036,1339,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDM_000000000000000004f8_0,4407,3127,862,1162,1522,2456,2926,3299,3364,3739,5,2019-07-17,Umbric Leptosols,46.40337439332457,2.739697268260874,1257,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDM_00000000000000000009_0,4388,2831,870,1246,1860,2340,2721,3082,3474,3611,5,2019-07-17,Chromic Luvisols,46.3675,2.9111111099999993,66249,"{WD-eSOTER,WD-WISE}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDN_000000000000000003b5_0,4385,3522,1586,2058,2752,3148,3408,3653,3828,3946,5,2019-07-17,Eutric Cambisols,47.55390274742055,2.9610017841947456,906,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TDN_0000000000000000040f_0,3038,2543,989,1378,1648,1999,2537,2779,2920,2988,5,2019-07-17,Eutric Cambisols,47.26607029067076,2.957639518006341,1002,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TEL_000000000000000005dd_0,2781,1858,760,1080,1546,1730,2120,2370,2793,2688,5,2019-07-17,Calcaric Cambisols,45.52542214420943,4.166928983720046,1511,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190717T104029_20190717T104353_T31TEL_00000000000000000593_0,2746,2366,995,1188,1362,1430,2071,2368,2622,2613,5,2019-07-17,Dystric Cambisols,45.81921837354532,3.764872564840007,1428,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
