system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20190915T104019_20190915T104326_T31TCH_0000000000000000086d_0,3548,2646,915,1448,1684,2169,2814,3206,3168,3458,5,2019-09-15,Eutric Cambisols,43.09172709977716,1.5397731446021294,2226,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TCH_0000000000000000086e_0,4462,3148,1552,2026,2446,3191,3775,4182,4396,4662,5,2019-09-15,Luvic Stagnosols,43.0930077715907,1.7359034787467902,2227,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TCH_00000000000000000854_0,3549,2851,1180,1684,2170,2460,2575,2781,2768,2932,5,2019-09-15,Mollic Umbrisols,43.23675734912461,1.7343973183347328,2192,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TCJ_000000000000000007e1_0,3661,2938,1094,1676,2018,2423,2528,2767,2662,2881,5,2019-09-15,Calcaric Cambisols,43.66811185509377,1.7298359782939583,2062,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TCJ_0000000000000000080b_0,3360,2803,980,1476,1900,2057,2142,2401,2564,2478,5,2019-09-15,Calcaric Cambisols,43.524309926758626,1.7313633815716516,2108,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TCJ_00000000000000000832_0,2900,2067,956,1386,1574,1957,2231,2473,2566,2597,5,2019-09-15,Calcaric Cambisols,43.379238151330306,1.5357705717025496,2152,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TDH_0000000000000000006a_0,3782,2647,1096,1240,1366,1730,2087,2306,2604,2609,5,2019-09-15,Calcaric Cambisols,43.25643616146044,2.453036771590776,SIM23594,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TDH_0000000000000000003d_0,3270,2107,777,1005,1390,1594,1758,2020,2172,2283,5,2019-09-15,Eutric Cambisols,43.08330529252448,1.8953747700466825,SIM11644,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TDH_00000000000000000856_0,2820,2301,950,1310,1732,1848,1956,2304,2265,2440,5,2019-09-15,Calcaric Arenosols,43.23824536900353,2.1276596812268993,2194,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915T104019_20190915T104326_T31TDH_00000000000000000858_0,2751,1896,336,642,741,1265,1758,2019,2150,2281,5,2019-09-15,Calcaric Cambisols,43.23829353328013,2.520928813086623,2196,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
