system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20190612T104031_20190612T104220_T31TCH_0000000000000000086e_0,2427,1902,902,1418,1648,1869,2069,2250,2374,2315,5,2019-06-12,Luvic Stagnosols,43.0930077715907,1.7359034787467902,2227,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_0000000000000000006a_0,3728,2498,1460,1886,2666,3330,3606,3847,4072,4252,5,2019-06-12,Calcaric Cambisols,43.25643616146044,2.453036771590776,SIM23594,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_00000000000000000859_0,3157,2573,1044,1542,1744,2163,2717,2892,3044,3028,5,2019-06-12,Calcaric Cambisols,43.23777831877379,2.7175602133262937,2197,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_0000000000000000085b_0,2983,2279,513,933,1084,2214,2604,2922,2807,3147,5,2019-06-12,Calcaric Cambisols,43.23566998923507,3.1108089650892605,2199,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_00000000000000000873_0,3181,2061,696,1024,1320,1733,2293,2604,2876,2936,5,2019-06-12,Calcaric Cambisols,43.094026894148875,2.7166120760122463,2232,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_0000000000000000089e_0,2671,2014,942,1258,1644,1968,2223,2304,2690,2490,5,2019-06-12,Calcaric Cambisols,42.6620252526446,2.9084752236407057,2304,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_00000000000000000894_0,3103,2277,722,1184,1316,1846,2770,3049,3164,3166,5,2019-06-12,Eutric Cambisols,42.80658280776676,2.714730808908014,2283,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_0000000000000000089d_0,2491,1890,722,1116,1474,1825,2264,2369,2422,2441,5,2019-06-12,Eutric Cambisols,42.66289048831836,2.713797124262496,2303,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_00000000000000000855_0,5211,4174,1722,2636,2976,3666,4444,4617,4716,4638,5,2019-06-12,Rendzic Leptosols,43.237681525941696,1.9310260055678181,2193,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDH_00000000000000000875_0,2244,1914,896,1326,1608,1737,1743,1764,1768,1779,5,2019-06-12,Stagnic Gleysols,43.091924316673435,3.108878696679787,2234,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_00000000000000000839_0,3899,3603,1204,1504,1958,2397,2646,2739,2698,2968,5,2019-06-12,Calcaric Cambisols,43.38067200264482,2.915635021626933,2159,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_0000000000000000083a_0,3359,2477,1788,2020,2116,2540,3359,3641,3947,3867,5,2019-06-12,Calcaric Cambisols,43.37943428075449,3.1127492445139326,2160,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_00000000000000000762_0,2819,2529,1782,1768,1366,2249,4185,4774,5052,5023,5,2019-06-12,Eutric Cambisols,44.10132367901196,2.3240912497602655,1926,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_00000000000000000811_0,3175,2277,1016,1512,1836,2285,2899,3173,3384,3318,5,2019-06-12,Skeletic Leptosols,43.523216159874494,3.114698744468044,2115,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_00000000000000000765_0,3793,3010,2286,2714,2978,3203,4208,4588,4416,4743,5,2019-06-12,Umbric Leptosols,44.09975448158712,2.9229781145275946,1929,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TDJ_00000000000000000836_0,3270,2764,2106,2264,2294,2704,4039,4560,4464,4848,5,2019-06-12,Umbric Leptosols,43.38222118649937,2.324261059505202,2156,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190612T104031_20190612T104220_T31TEH_0000000000000000085b_0,2998,2285,489,924,1078,2244,2621,2950,2820,3170,5,2019-06-12,Calcaric Cambisols,43.23566998923507,3.1108089650892605,2199,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
